model,num_impressions,ndcg@5,mrr@5,recall@5,coverage@5,novelty@5,ndcg@10,mrr@10,recall@10,coverage@10,novelty@10
popular,200,0.2331959529407116,0.21041666666666664,0.35734523809523805,0.14602215508559918,13.008501881436597,0.3027300721152196,0.2392797619047619,0.5559761904761905,0.2638469284994965,13.982296425010352
random,200,0.23032758789599916,0.21675,0.3313333333333333,0.2940584088620342,16.196729659772355,0.28927748247612906,0.2394246031746032,0.49924999999999997,0.4149043303121853,16.195450862713848
