model,num_impressions,ndcg@5,mrr@5,recall@5,coverage@5,novelty@5,ndcg@10,mrr@10,recall@10,coverage@10,novelty@10
popular,500,0.2509950053265186,0.2253333333333333,0.3737714285714286,0.15737951807228914,12.954815841579823,0.3126501249081199,0.2521277777777778,0.5505095238095239,0.26506024096385544,13.963823287111158
content_tfidf,500,0.2355158006254604,0.21646666666666664,0.3475190476190476,0.3561746987951807,16.09944744934724,0.29952464139554597,0.24346587301587302,0.5336857142857143,0.4932228915662651,16.165152587814486
content_entity,500,0.22040223459637634,0.19963333333333333,0.33081904761904757,0.3411144578313253,16.13487909934224,0.2828903737811082,0.22605158730158728,0.5137190476190476,0.4819277108433735,16.187191042948385
random,500,0.20775027721669279,0.18706666666666666,0.31303333333333333,0.33960843373493976,16.193670227137797,0.275768357636236,0.21526904761904764,0.5092666666666666,0.46009036144578314,16.20299143847904
itemknn,500,0.19871022314800998,0.1758333333333333,0.3058484848484848,0.2183734939759036,15.608412273615365,0.2671009603430319,0.20437936507936508,0.5068199134199134,0.39683734939759036,15.906802441103137
